Model / Code,Product Description,Price (?),HSN CODE
"1 TB 2.5""","1 TB 2.5""",4930,84717020
"1 TB 3.5""","1 TB 3.5""",6570,84717020
128 GB,128 GB,740,84717020
128 GB NVME,128 GB NVME,1080,84717020
128 GB SATA,128 GB SATA,850,84717020
128GB,128GB,1040,84717020
12A CARTRIDGE,12A CARTRIDGE,350,84733099
12A POWDER 100G,12A POWDER 100G,90,84733099
16 GB DDR4 Laptop Ram,16 GB DDR4 Laptop Ram,4630,84733099
16GB DDR4 DESKTOP RAM,16GB DDR4 DESKTOP RAM,1650,84733099
16GB DDR4 LAPTOP RAM,16GB DDR4 LAPTOP RAM,1650,84733099
1TB NVME,1TB NVME,5440,84717020
1TB SATA,1TB SATA,5020,84717020
"22"" LED BORDER LESS MONITOR","22"" LED BORDER LESS MONITOR",5070,85285200
"24"" LED MONITOR","24"" LED MONITOR",4220,85285200
256 GB NVME,256 GB NVME,1770,84717020
256 GB SATA,256 GB SATA,1230,84717020
"27"" LED MONITOR CURVED","27"" LED MONITOR CURVED",8430,85285200
2U RACK,2U RACK,540,84733099
3+1 CCTV CABLE 70MTR COPPER,Daichi 90MTR COPPER 90MTR COPPER 3+1,1120,84733099
3+1 CCTV CABLE 90MTR COPPER,Daichi 4 CHANNEL POWER SUPPLY,370,84733099
3+1 CCTV CABLE ECO 70MTR,Daichi 70MTR COPPER 70 MTR COPPER 3+1,900,84733099
32 GB,32 GB,280,84717020
320GB,320GB,1630,84717020
3tb,3tb,8130,84717020
4 CHANNEL POWER SUPPLY,4 CHANNEL POWER SUPPLY,370,84733099
4 GB DDR3 Desktop Ram,4 GB DDR3 Desktop Ram,590,84733099
4 GB DDR3 Desktop Ram Low Power,4 GB DDR3 Desktop Ram Low Power,690,84733099
4 GB DDR3 Laptop Ram,4 GB DDR3 Laptop Ram,590,84733099
4 GB DDR4 Desktop Ram,4 GB DDR4 Desktop Ram,1000,84733099
4 TB WD,4 TB WD,12400,84717020
4CH POE GIGA,4CH POE GIGA,2220,84733099
4CH POE NORMAL,4CH POE NORMAL,1090,84733099
4G SIM CAMERA DIB34GC,Daichi KYIRO EXTENSION BOARD,450,84733099
4GB DDR3 DESKTOP RAM,4GB DDR3 DESKTOP RAM,300,84733099
4GB DDR3 LAPTOP RAM,4GB DDR3 LAPTOP RAM,300,84733099
4GB DDR4 DESKTOP RAM,4GB DDR4 DESKTOP RAM,630,84733099
4U RACK,4U RACK,1070,84733099
5 PORT GIGA SWITCH,5 PORT GIGA SWITCH,800,84733099
5 PORT NORMAL,5 PORT NORMAL,520,84733099
"500GB 2.5""","500GB 2.5""",1630,84717020
"500GB 2.5""","500GB 2.5""",1740,84717020
"500GB 3.5""","500GB 3.5""",2750,84717020
512 GB NVME,512 GB NVME,2830,84717020
512 GB SATA,512 GB SATA,2380,84717020
6 TB WD,6 TB WD,18080,84717020
64 GB,64 GB,370,84717020
64GB,64GB,600,84717020
6tb,6tb,13280,84717020
6U RACK,6U RACK,1520,84733099
70MTR COPPER,70 MTR COPPER 3+1,900,84733099
8 CHANNEL POWER SUPPLY,8 CHANNEL POWER SUPPLY,400,84733099
8 GB DDR3 Desktop Ram,8 GB DDR3 Desktop Ram,1250,84733099
8 GB DDR3 Desktop Ram Low Power,8 GB DDR3 Desktop Ram Low Power,1420,84733099
8 GB DDR3 Laptop Ram,8 GB DDR3 Laptop Ram,1250,84733099
8 GB DDR4 Desktop Ram,8 GB DDR4 Desktop Ram,2190,84733099
8 GB DDR4 Laptop Ram,8 GB DDR4 Laptop Ram,2190,84733099
8 PORT GIGA SWITCH,8 PORT GIGA SWITCH,1270,84733099
8 PORT NORMAL SWITCH,8 PORT NORMAL SWITCH,630,84733099
8+2 POE FULL GIGA POE,8+2 POE FULL GIGA POE,2720,84733099
8+2 POE NORMAL,8+2 POE NORMAL,1400,84733099
88A CARTRIDGE,88A CARTRIDGE,350,84733099
8GB DDR3 DESKTOP RAM,8GB DDR3 DESKTOP RAM,520,84733099
8GB DDR3 LAPTOP RAM,8GB DDR3 LAPTOP RAM,520,84733099
8GB DDR4 DESKTOP RAM,8GB DDR4 DESKTOP RAM,930,84733099
8GB DDR4 DESKTOP RAM (3200FQ),8GB DDR4 DESKTOP RAM (3200FQ),990,84733099
8GB DDR4 LAPTOP RAM,8GB DDR4 LAPTOP RAM,930,84733099
8GB DDR4 LAPTOP RAM (3200FQ),8GB DDR4 LAPTOP RAM (3200FQ),1030,84733099
90MTR COPPER,90MTR COPPER 3+1,1120,84733099
BAREBONE DESKTOP MACHINE 7TH SFF (3050),BAREBONE DESKTOP MACHINE 7TH SFF (3050),0,84733099
CAT 6 305MTR INDOOR COPPER,CAT 6 305MTR INDOOR COPPER,8140,84733099
CAT 6 305MTR OUTDOOR COPPER,CAT 6 305MTR OUTDOOR COPPER,8470,84733099
